Date,Name,Location,Record Type,Details / Family,Source Link
1418–1419,Robbrecht Van Vlaendren,Tielt,City Accounts,Mentioned on p. 248,View Record
1418–1419,Robbrecht Van Vlaendren,Tielt,City Accounts,Mentioned on p. 257,View Record
1426–1427,Robbrechte Van Vlaendren,Tielt,City Accounts,Mentioned on p. 357,View Record
1431–1432,Robbrechte Van Vlaendren,Tielt,City Accounts,Mentioned on p. 423,View Record
1547,Joos Van Vlaanderen,Brugge Vrije,State of Goods,Testator (Estate 1),View Record
1549,Joos Van Vlaanderen,Brugge Vrije,State of Goods,Testator (Estate 2),View Record
1566,Lodewijk Van Vlaanderen,Antwerpen,Act,Order of the Golden Fleece,View Record
1584,Livina Van Vlaenderen,Gent,Marriage,Spouse: Joannes Lammins,View Record
1585,Joannes Vlier Vlaenderen,Gent,Marriage,Spouse: C. Schoormans,View Record
1586,Philippus Van Vlaenderen,Gent,Baptism,Parish: Sint-Niklaas,View Record
1587,Lieven Van Vlaenderen,Gent,Marriage,Spouse: Elisabet Tbryant,View Record
1587,Elisabeth Van Vlaenderen,Gent,Baptism,Parish: Sint-Niklaas,View Record
1588,Joannes Van Vlaenderen,Gent,Marriage,Spouse: Barbara De Roo,View Record
1589,Anna Van Vlaenderen,Gent,Baptism,Parish: Sint-Niklaas,View Record
1590,Livina Van Vlaenderen,Gent,Baptism,Parish: Sint-Niklaas,View Record
1592,Philippus Van Vlaenderen,Gent,Baptism,Parish: Sint-Niklaas,View Record
1594,Levine Van Vlaenderen,Gent,Marriage,Spouse: Pieter Van Wasberghe,View Record
1596,Petrus Van Vlaenderen,Gent,Baptism,Parish: Sint-Niklaas,View Record
1598,Carolus Van Vlaenderen,Gent,Baptism,Parish: Sint-Niklaas,View Record
1613,Michael Van Vlaenderen,Gent,Marriage,Groom (Early 17th-c anchor),View Record
1616,Catharina Van Vlaenderen,Damme,Baptism,Godmother,View Record
1622,Joannes Van Vlaenderen,Gent,Marriage,"""Meester"" (Guild Master)",View Record
1645,Laurent Van Vlaenderen,Brussel,Marriage,Spouse: Jeanne Donckerwolck,View Record
1651,Joannes Van Vlaenderen,Gent,Marriage,Witness: Livinus,View Record
1659,Livinus Van Vlaenderen,Gent,Marriage,Witness: Lucas Van Essche,View Record
1663,Joanna Catharina Van Vlaenderen,Gent,Marriage,Spouse: Carolus Van Hamme,View Record
1669,Gerardus Van Vlaenderen,Gent,Marriage,Groom (Later 17th-c anchor),View Record
1681,Levinne Van Vlaenderen,Waardamme,State of Goods,Accounting party/Inheritance,View Record
1689,Andreas Van Vlaendere,Woumen,Baptism,Godfather for Joannes Vandorpe,View Record
1690,Guilliaeme Van Vlaenderen,Gent,Funeral,Deceased,View Record
1701,Joanna Van Vlaenderen,Gent,Marriage,Witness,View Record
